S.No,STATE,DISTRICT,Rainfall(mm),Total Geographical Area (ha),Rainfall Recharge,Ground Water Recharge (ham),Annual Ground water Recharge (ham),Environmental Flows (ham),Annual Extractable Ground water Resource (ham),Ground Water Extraction for all uses (ha.m),Stage of Ground Water Extraction (%),Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),Net Annual Ground Water Availability for Future Use (ham)),Total Ground Water Availability in Unconfined Aquifier (ham)-Fresh,Total Ground Water Availability in Unconfined Aquifier (ham)-Saline,Total Ground Water Availability in Unconfined Aquifier (ham)- Fresh,Total Ground Water Availability in Unconfined Aquifier (ham)- Saline,Total Ground Water Availability in the area (ham)-Fresh,Total Ground Water Availability in the area (ham)-Saline
1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,3015,344146,16376,16388,16388,1638,14749,338,2,269,14396,0,0,14749,0,14749,0
2,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2805,194166,35011,35012,35012,3501,31511,90,0,90,31106,0,0,31197,313,31197,313
3,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,3015,246845,10777,10790,10790,1079,9711,338,3,331,9355,0,0,9711,0,9711,0
4,ANDHRA PRADESH,Alluri Sitharama Raju,1306,1225342,43318,93520,93520,4676,88843,2208,2,1810,86679,0,0,88843,0,88843,0
5,ANDHRA PRADESH,Anakapalli,1156,429245,37121,80157,80157,4008,76149,20325,26,5764,55762,1219351,0,1295486,14,1295486,14
6,ANDHRA PRADESH,Ananthapuramu,515,1044311,42191,123310,123310,6165,117144,38985,33,4733,77496,0,0,117144,0,117144,0
7,ANDHRA PRADESH,Annamayya,747,794528,47256,89051,89051,4452,84599,41428,48,5013,41865,0,0,84599,0,84599,0
8,ANDHRA PRADESH,Bapatla,899,382885,33670,104496,104496,5224,99272,13840,19,2820,57813,705720,231223,777089,259126,777089,259126
9,ANDHRA PRADESH,Chittoor,905,685899,59508,93165,93165,4658,88506,49665,56,5847,37894,3099934,0,3188440,0,3188440,0
10,ANDHRA PRADESH,East Godavari,1077,257634,26537,112178,112178,5608,106569,31636,29,2199,76735,0,0,106569,0,106569,0
11,ANDHRA PRADESH,Eluru,998,669816,62954,184328,184328,9216,175111,50978,32,11458,107732,4697144,249369,4854881,266744,4854881,266744
12,ANDHRA PRADESH,Guntur,884,245303,21384,70892,70892,3544,67347,10697,19,2788,44177,408615,359284,463694,371554,463694,371554
13,ANDHRA PRADESH,Kakinada,1138,301979,25416,125574,125574,6278,120044,18321,17,2191,80510,0,0,97480,22564,97480,22564
14,ANDHRA PRADESH,Konaseema,1278,208095,30256,146337,146337,7316,139020,18125,16,1327,90449,0,0,107695,31324,107695,31324
15,ANDHRA PRADESH,Krishna,1050,388056,52825,279483,279483,13974,265508,49729,25,2736,140744,1033854,1284961,1224015,1360309,1224015,1360309
16,ANDHRA PRADESH,Kurnool,609,797740,38454,77088,77088,3854,73233,17217,23,5464,55888,0,0,73233,0,73233,0
17,ANDHRA PRADESH,NTR,1033,318124,21327,72803,72803,3640,69163,23268,33,1609,46002,0,0,69163,0,69163,0
18,ANDHRA PRADESH,Nandyal,661,968615,22478,106445,106445,5322,101122,13953,13,503,87169,0,0,101122,0,101122,0
19,ANDHRA PRADESH,Palnadu,740,730123,27952,101676,101676,5083,96593,28925,29,4393,68662,1450969,116984,1546256,118290,1546256,118290
20,ANDHRA PRADESH,Parvathipuram Manyam,1154,365900,34356,94480,94480,4724,89756,19605,21,2330,71187,0,0,89756,0,89756,0
21,ANDHRA PRADESH,Prakasam,806,1294175,63387,91911,91911,4595,87315,28408,33,4215,58666,4408570,136787,4492462,140210,4492462,140210
22,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,1039,1045134,87858,258633,258633,12931,245701,64023,26,9682,179473,1676088,0,1921788,1,1921788,1
23,ANDHRA PRADESH,Sri Sathya Sai,589,868689,43841,118030,118030,5901,112128,63057,56,11119,56121,1765708,0,1877837,0,1877837,0
24,ANDHRA PRADESH,Srikakulam,1170,457587,37687,90554,90554,4527,86027,28248,33,15250,60358,0,0,84744,1282,84744,1282
25,ANDHRA PRADESH,Tirupati,1139,822936,81851,169082,169082,8454,160628,44955,29,8646,106732,3574915,4425,3726805,13162,3726805,13162
