S.No,STATE,DISTRICT,Rainfall(mm),Total Geographical Area (ha),Rainfall Recharge,Ground Water Recharge (ham),Annual Ground water Recharge (ham),Environmental Flows (ham),Annual Extractable Ground water Resource (ham),Ground Water Extraction for all uses (ha.m),Stage of Ground Water Extraction (%),Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),Net Annual Ground Water Availability for Future Use (ham)),Total Ground Water Availability in Unconfined Aquifier (ham)-Fresh,Total Ground Water Availability in Unconfined Aquifier (ham)-Saline,Total Ground Water Availability in Unconfined Aquifier (ham)- Fresh,Total Ground Water Availability in Unconfined Aquifier (ham)- Saline,Total Ground Water Availability in the area (ham)-Fresh,Total Ground Water Availability in the area (ham)-Saline
1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,2913,344146,15655,15807,15807,1580,14226,272,1,269,13943,0,0,14226,0,14226,0
2,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2805,194166,11344,11360,11360,1136,10224,91,0,90,9819,56008,0,65919,313,65919,313
3,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,3015,246845,10777,10797,10797,1079,9717,342,3,331,9362,1045,0,10762,0,10762,0
4,ANDHRA PRADESH,Alluri Sitharama Raju,1281,1225342,46817,158224,158224,7911,150312,2239,1,1810,148119,0,0,150312,0,150312,0
5,ANDHRA PRADESH,Anakapalli,1182,429245,36867,81952,81952,4097,77854,20967,26,5470,56646,1216281,0,1294136,0,1294136,0
6,ANDHRA PRADESH,Ananthapuramu,522,1044311,42310,121973,121973,6098,115874,40926,35,6064,74925,0,0,115874,0,115874,0
7,ANDHRA PRADESH,Annamayya,744,794528,47435,86570,86570,4328,82241,35463,43,5137,45491,0,0,82241,0,82241,0
8,ANDHRA PRADESH,Bapatla,917,382885,34500,102696,102696,5134,97561,18457,27,2805,48843,709895,244502,776660,275299,776660,275299
9,ANDHRA PRADESH,Chittoor,905,685899,56445,90425,90425,4521,85903,50903,59,5638,34698,3159229,0,3245132,0,3245132,0
10,ANDHRA PRADESH,East Godavari,1143,257634,27974,107290,107290,5364,101925,34167,33,2246,68798,0,0,101925,0,101925,0
11,ANDHRA PRADESH,Eluru,1003,659821,62095,201521,201521,10076,191445,47743,27,11572,126197,4225284,767254,4398956,785028,4398956,785028
12,ANDHRA PRADESH,Guntur,876,245303,21114,67075,67075,3353,63721,10652,20,2788,40942,414803,362966,466579,374910,466579,374910
13,ANDHRA PRADESH,Kakinada,1153,301979,26176,140133,140133,7007,133327,20121,15,1941,89999,0,0,107137,26189,107137,26189
14,ANDHRA PRADESH,Konaseema,1282,208095,29589,143723,143723,7186,136537,10671,9,1338,96004,0,0,106636,29900,106636,29900
15,ANDHRA PRADESH,Krishna,1050,388056,53225,228555,228555,11427,217127,47576,29,2692,110791,1047098,1229202,1205505,1287923,1205505,1287923
16,ANDHRA PRADESH,Kurnool,610,797741,38909,67454,67454,3372,64082,19597,30,5671,44662,0,0,64082,0,64082,0
17,ANDHRA PRADESH,NTR,1033,318124,22008,64259,64259,3213,61046,23895,39,2471,37302,0,0,61046,0,61046,0
18,ANDHRA PRADESH,Nandyal,716,968615,22717,82220,82220,4111,78109,12854,16,505,65255,0,0,78109,0,78109,0
19,ANDHRA PRADESH,Palnadu,765,730123,28011,102899,102899,5145,97754,29621,30,4393,68904,1472760,112950,1569163,114302,1569163,114302
20,ANDHRA PRADESH,Parvathipuram Manyam,1168,414876,33350,91444,91444,4572,86871,21795,25,2330,66218,0,0,86871,0,86871,0
21,ANDHRA PRADESH,Prakasam,790,1432121,67576,101617,101617,5081,96536,47512,50,4958,55899,5414536,203899,5507955,207016,5507955,207016
22,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,1040,1045684,88856,196976,196976,9849,187127,43888,23,7173,144094,1735077,0,1922203,1,1922203,1
23,ANDHRA PRADESH,Sri Sathya Sai,589,868689,43673,119894,119894,5994,113899,69091,60,11143,53422,1867984,0,1981884,0,1981884,0
24,ANDHRA PRADESH,Srikakulam,1170,459287,37980,133042,133042,6652,126390,44359,35,11559,86698,0,0,125582,807,125582,807
25,ANDHRA PRADESH,Tirupati,1139,822940,81568,170733,170733,8536,162196,53602,34,9084,100140,3637364,4474,3790823,13211,3790823,13211
26,ANDHRA PRADESH,Visakhapatnam,1278,100167,8280,12621,12621,631,11990,5382,44,3184,6078,739587,0,751578,0,751578,0
27,ANDHRA PRADESH,Vizianagaram,1109,412919,27535,142793,142793,7139,135653,35808,26,1808,101992,1998746,0,2134352,47,2134352,47
28,ANDHRA PRADESH,West Godavari,1215,227837,39429,147646,147646,7382,140264,5047,8,1130,48039,0,87277,53132,174409,53132,174409
29,ANDHRA PRADESH,Y.S.R Kadapa,685,1122617,57654,107245,107245,5362,101882,41442,40,9295,62494,7526010,0,7627893,0,7627893,0
30,ARUNACHAL PRADESH,ANJAW,0,619000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,ARUNACHAL PRADESH,CHANGLANG,2599,466200,24248,34613,34613,3461,31152,244,0,188,30898,0,0,31152,0,31152,0
32,ARUNACHAL PRADESH,DIBANG VALLEY,0,912900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,ARUNACHAL PRADESH,EAST KAMENG,2136,413400,11748,18164,18164,1816,16348,108,0,16,16237,0,0,16348,0,16348,0
34,ARUNACHAL PRADESH,EAST SIANG,4418,360300,77747,87717,86538,7969,78569,178,0,65,78389,0,0,78569,0,78569,0
35,ARUNACHAL PRADESH,KURUNG KUMEY,0,604000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,ARUNACHAL PRADESH,LOHIT,3003,521200,105754,123167,122887,12316,110570,270,0,237,110290,0,0,110570,0,110570,0
37,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,3507,390000,76744,79210,79210,7921,71289,247,0,31,71041,0,0,71289,0,71289,0
38,ARUNACHAL PRADESH,LOWER SUBANSIRI,2136,350799,3705,6304,6138,630,5508,39,0,26,5464,0,0,5508,0,5508,0
39,ARUNACHAL PRADESH,PAPUM PARE,3336,346200,10728,14017,11501,1401,10099,145,1,123,9935,0,0,10099,0,10099,0
40,ARUNACHAL PRADESH,TAWANG,0,217200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,ARUNACHAL PRADESH,TIRAP,3459,236200,7863,10136,10136,1013,9122,55,0,50,9066,0,0,9122,0,9122,0
42,ARUNACHAL PRADESH,UPPER SIANG,0,658999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,ARUNACHAL PRADESH,UPPER SUBANSIRI,1746,703200,215,2751,2751,275,2476,21,0,4,2454,0,0,2476,0,2476,0
44,ARUNACHAL PRADESH,WEST KAMENG,2521,742200,2740,3496,3496,349,3146,13,0,11,3133,0,0,3146,0,3146,0
45,ARUNACHAL PRADESH,WEST SIANG,2912,832500,5362,8124,8124,812,7312,7,0,2,7304,0,0,7312,0,7312,0
46,ASSAM,BAKSA,3274,246256,135894,146352,143930,14635,129294,4553,3,2042,124693,1943256,0,2072551,0,2072551,0
47,ASSAM,BARPETA,2051,228200,81977,90731,86285,9073,77212,28378,36,4218,48605,817402,0,894614,0,894614,0
48,ASSAM,BONGAIGAON,3102,109300,50271,55740,51516,5574,45942,11836,25,1766,34015,576030,0,621972,0,621972,0
49,ASSAM,CACHAR,3311,378600,87523,92671,53358,9267,44091,1445,3,1487,42571,399217,0,443309,0,443309,0
50,ASSAM,CHIRANG,3218,192300,108649,109201,107429,10920,96509,2469,2,970,94016,1530049,0,1626559,0,1626559,0
51,ASSAM,DARRANG,1951,158500,55331,57883,57651,5405,52246,17692,33,2240,34426,1310522,0,1362768,0,1362768,0
52,ASSAM,DHEMAJI,2859,323700,143046,143416,111197,14341,96856,4606,4,1588,92171,3661792,0,3758648,0,3758648,0
